Treatment,SanitizerType,SanitizerConc,reps,counts,counts,average,cfu,logcfu
P,Q,0,1,94,103,98.5,985000,5.99343623
P,Q,0,2,41,55,48,48000000,7.681241237
P,Q,0,3,,,,,6.76
P,Q,50,1,108,111,109.5,109500,5.039414119
P,Q,50,2,149,124,136.5,136500000,8.135132651
P,Q,50,3,,,,,6.24
P,Q,100,1,86,90,88,88000,4.944482672
P,Q,100,2,36,43,39.5,3950000,6.596597096
P,Q,100,3,,,,,6.05
P,Q,200,1,172,181,176.5,17650,4.24674471
P,Q,200,2,145,157,151,1510000,6.178976947
P,Q,200,3,,,,,5.9
P,Q,0,1,178,205,191.5,191500,5.282168778
P,Q,0,2,61,62,61.5,61500000,7.788875116
P,Q,0,3,,,,,6.43
P,Q,50,1,37,55,46,46000,4.662757832
P,Q,50,2,56,61,58.5,585000,5.767155866
P,Q,50,3,,,,,5.29
P,Q,100,1,152,171,161.5,16150,4.208172527
P,Q,100,2,121,127,124,12400000,7.093421685
P,Q,100,3,,,,,5.16
P,Q,200,1,75,97,86,8600,3.934498451
P,Q,200,2,64,47,55.5,555000,5.744292983
P,Q,200,3,,,,,3.35
P,Q,0,1,133,146,139.5,13950000,7.144574208
P,Q,0,2,43,59,51,5100000,6.707570176
P,Q,0,3,,,,,5.93
P,Q,50,1,131,164,147.5,14750000,7.16879202
P,Q,50,2,,,,,6.16
P,Q,50,3,,,,,
P,Q,100,1,,,,,5.87
P,Q,100,2,,,,,
P,Q,100,3,,,,,
P,Q,200,1,265,297,281,2810000,6.44870632
P,Q,200,2,,,,,5.52
P,Q,200,3,,,,,
P,Q,0,1,191,173,182,18200000,7.260071388
P,Q,0,2,32,36,34,3400000,6.531478917
P,Q,0,3,,,,,5.87
P,Q,50,1,54,60,57,570000,5.755874856
P,Q,50,2,,,,,5.73
P,Q,50,3,,,,,
P,Q,100,1,31,30,30.5,305000,5.484299839
P,Q,100,2,,,,,5.87
P,Q,100,3,,,,,
P,Q,200,1,191,227,209,209000,5.320146286
P,Q,200,2,,,,,4.67
P,Q,200,3,,,,,
P,Q,0,1,62,52,57,57000000,7.755874856
P,Q,0,2,94,95,94.5,9450000,6.975431809
P,Q,0,3,109,117,113,11300000,7.053078443
P,Q,50,1,62,63,62.5,62500,4.795880017
P,Q,50,2,,,,,6.59
P,Q,50,3,,,,,
P,Q,100,1,33,44,38.5,385000,5.58546073
P,Q,100,2,,,,,6.73
P,Q,100,3,,,,,
P,Q,200,1,60,46,53,53000,4.72427587
P,Q,200,2,,,,,6.15
P,Q,200,3,,,,,
P,Q,0,1,60,63,61.5,6150000,6.788875116
P,Q,0,2,73,95,84,8400000,6.924279286
P,Q,0,3,,,,,6.5
P,Q,50,1,140,127,133.5,133500,5.125481266
P,Q,50,2,,,,,5.7
P,Q,50,3,,,,,
P,Q,100,1,151,,,151000,5.178976947
P,Q,100,2,,,,,5.3
P,Q,100,3,,,,,
P,Q,200,1,101,111,106,106000,5.025305865
P,Q,200,2,,,,,5.04
P,Q,200,3,,,,,
R,Q,0,1,96,100,98,98000000,7.991226076
R,Q,0,2,150,173,161.5,1615000000,9.208172527
R,Q,0,3,,,,,7.55
R,Q,50,1,31,40,35.5,35500000,7.550228353
R,Q,50,2,32,38,35,350000000,8.544068044
R,Q,50,3,,,,,7.23
R,Q,100,1,288,303,295.5,29550000,7.470557485
R,Q,100,2,87,96,91.5,91500000,7.961421094
R,Q,100,3,,,,,7.62
R,Q,200,1,138,198,168,168000000,8.225309282
R,Q,200,2,55,57,56,56000000,7.748188027
R,Q,200,3,,,,,6.85
R,Q,0,1,36,41,38.5,3850000,6.58546073
R,Q,0,2,33,27,30,30000000,7.477121255
R,Q,0,3,,,,,6.36
R,Q,50,1,54,43,48.5,4850000,6.685741739
R,Q,50,2,42,46,44,440000,5.643452676
R,Q,50,3,,,,,5.95
R,Q,100,1,83,90,86.5,865000,5.937016107
R,Q,100,2,64,55,59.5,5950000,6.774516966
R,Q,100,3,,,,,5.85
R,Q,200,1,181,222,201.5,201500,5.30427505
R,Q,200,2,97,108,102.5,10250000,7.010723865
R,Q,200,3,,,,,6.11
R,Q,0,1,168,169,168.5,168500000,8.226599905
R,Q,0,2,80,85,82.5,82500000,7.916453949
R,Q,0,3,,,,,7.89
R,Q,50,1,148,161,154.5,15450000,7.188928484
R,Q,50,2,,,,,7.71
R,Q,50,3,,,,,
R,Q,100,1,64,67,65.5,6550000,6.8162413
R,Q,100,2,,,,,7.61
R,Q,100,3,,,,,
R,Q,200,1,344,359,351.5,35150000,7.545925329
R,Q,200,2,,,,,7.34
R,Q,200,3,,,,,
R,Q,0,1,218,230,224,224000000,8.350248018
R,Q,0,2,141,146,143.5,143500000,8.156851901
R,Q,0,3,,,,,7.73
R,Q,50,1,,,,,7.59
R,Q,50,2,,,,,
R,Q,50,3,,,,,
R,Q,100,1,,,,,6.02
R,Q,100,2,,,,,
R,Q,100,3,,,,,
R,Q,200,1,,,,,7.73
R,Q,200,2,,,,,8.75
R,Q,200,3,,,,,
R,Q,0,1,32,32,32,320000000,8.505149978
R,Q,0,2,107,135,121,121000000,8.08278537
R,Q,0,3,,,,,7.4
R,Q,50,1,90,107,98.5,98500000,7.99343623
R,Q,50,2,,,,,7.54
R,Q,50,3,,,,,
R,Q,100,1,630,620,625,62500000,7.795880017
R,Q,100,2,,,,,7.32
R,Q,100,3,,,,,
R,Q,200,1,133,144,138.5,138500000,8.141449773
R,Q,200,2,,,,,7.1
R,Q,200,3,,,,,
R,Q,0,1,42,53,47.5,475000000,8.67669361
R,Q,0,2,121,147,134,134000000,8.127104798
R,Q,0,3,,,,,7.37
R,Q,50,1,47,59,53,53000000,7.72427587
R,Q,50,2,,,,,7.29
R,Q,50,3,,,,,
R,Q,100,1,47,46,46.5,46500000,7.667452953
R,Q,100,2,,,,,6.91
R,Q,100,3,,,,,
R,Q,200,1,66,88,77,77000000,7.886490725
R,Q,200,2,,,,,7.1
R,Q,200,3,,,,,
P,S,0,1,,,,,6.31
P,S,0,2,,,,,
P,S,0,3,,,,,
P,S,50,1,,,,,7.29
P,S,50,2,,,,,3.54
P,S,50,3,,,,,
P,S,100,1,,,,,3.15
P,S,100,2,,,,,
P,S,100,3,,,,,
P,S,200,1,,,,,2.59
P,S,200,2,,,,,
P,S,200,3,,,,,
P,S,0,1,,,,,5.55
P,S,0,2,,,,,
P,S,0,3,,,,,
P,S,50,1,,,,,2.4
P,S,50,2,,,,,
P,S,50,3,,,,,
P,S,100,1,,,,,1.7
P,S,100,2,,,,,
P,S,100,3,,,,,
P,S,200,1,,,,,2.67
P,S,200,2,,,,,
P,S,200,3,,,,,
P,S,0,1,43,59,51,5100000,6.707570176
P,S,0,2,,,,,6.08
P,S,0,3,,,,,
P,S,50,1,99,107,103,10300000,7.012837225
P,S,50,2,,,,,3.55
P,S,50,3,,,,,
P,S,100,1,91,108,99.5,9950000,6.997823081
P,S,100,2,,,,,3.61
P,S,100,3,,,,,
P,S,200,1,54,58,56,560000,5.748188027
P,S,200,2,,,,,2.1
P,S,200,3,,,,,
P,S,0,1,36,32,34,3400000,6.53
P,S,0,2,,,,,6.08
P,S,0,3,,,,,
P,S,50,1,34,50,42,4200000,6.62324929
P,S,50,2,,,,,3.05
P,S,50,3,,,,,
P,S,100,1,42,43,42.5,4250000,6.62838893
P,S,100,2,,,,,3.5
P,S,100,3,,,,,
P,S,200,1,,,,,1.9
P,S,200,2,117,128,122.5,1225000,6.088136089
P,S,200,3,,,,,
P,S,0,1,94,95,94.5,9450000,6.975431809
P,S,0,2,,,,,5.38
P,S,0,3,,,,,
P,S,50,1,72,88,80,8000000,6.903089987
P,S,50,2,,,,,1.72
P,S,50,3,,,,,
P,S,100,1,121,126,123.5,12350000,7.091666958
P,S,100,2,,,,,2.22
P,S,100,3,,,,,
P,S,200,1,37,45,41,4100000,6.612783857
P,S,200,2,,,,,2.16
P,S,200,3,,,,,
P,S,0,1,73,95,84,8400000,6.924279286
P,S,0,2,,,,,6.18
P,S,0,3,,,,,
P,S,50,1,96,108,102,10200000,7.008600172
P,S,50,2,,,,,3.12
P,S,50,3,,,,,
P,S,100,1,151,126,138.5,13850000,7.141449773
P,S,100,2,,,,,2.48
P,S,100,3,,,,,
P,S,200,1,129,146,137.5,13750000,7.138302698
P,S,200,2,,,,,3.97
P,S,200,3,,,,,
R,S,0,1,,,,,6.7
R,S,0,2,,,,,
R,S,0,3,,,,,
R,S,50,1,,,,,4.95
R,S,50,2,,,,,
R,S,50,3,,,,,
R,S,100,1,,,,,4.86
R,S,100,2,,,,,
R,S,100,3,,,,,
R,S,200,1,,,,,5.84
R,S,200,2,,,,,
R,S,200,3,,,,,
R,S,0,1,,,,,6.61
R,S,0,2,,,,,
R,S,0,3,,,,,
R,S,50,1,,,,,4.95
R,S,50,2,,,,,
R,S,50,3,,,,,
R,S,100,1,,,,,4.98
R,S,100,2,,,,,
R,S,100,3,,,,,
R,S,200,1,,,,,5.19
R,S,200,2,,,,,4.8
R,S,200,3,,,,,
R,S,0,1,80,85,82.5,82500000,7.916453949
R,S,0,2,,,,,7.55
R,S,0,3,,,,,
R,S,50,1,101,116,108.5,108500000,8.035429738
R,S,50,2,,,,,5.91
R,S,50,3,,,,,
R,S,100,1,115,98,106.5,106500000,8.027349608
R,S,100,2,,,,,4.69
R,S,100,3,,,,,
R,S,200,1,83,81,82,82000000,7.913813852
R,S,200,2,,,,,5.11
R,S,200,3,,,,,
R,S,0,1,141,146,143.5,143500000,8.156851901
R,S,0,2,,,,,7.13
R,S,0,3,,,,,
R,S,50,1,145,150,147.5,147500000,8.16879202
R,S,50,2,,,,,5.98
R,S,50,3,,,,,
R,S,100,1,221,209,215,215000000,8.33243846
R,S,100,2,,,,,5.35
R,S,100,3,,,,,
R,S,200,1,108,97,102.5,102500000,8.010723865
R,S,200,2,,,,,4.77
R,S,200,3,,,,,
R,S,0,1,107,135,121,121000000,8.08278537
R,S,0,2,,,,,7.11
R,S,0,3,,,,,
R,S,50,1,120,140,130,130000000,8.113943352
R,S,50,2,,,,,6.38
R,S,50,3,,,,,
R,S,100,1,189,197,193,193000000,8.285557309
R,S,100,2,,,,,5.27
R,S,100,3,,,,,
R,S,200,1,149,99,124,124000000,8.093421685
R,S,200,2,,,,,5.8
R,S,200,3,,,,,
R,S,0,1,121,147,134,134000000,8.13
R,S,0,2,,,,,7.04
R,S,0,3,,,,,
R,S,50,1,146,158,152,152000000,8.181843588
R,S,50,2,,,,,5.96
R,S,50,3,,,,,
R,S,100,1,236,219,227.5,227500000,8.356981401
R,S,100,2,,,,,5.78
R,S,100,3,,,,,
R,S,200,1,243,241,242,242000000,8.383815366
R,S,200,2,,,,,5.63
R,S,200,3,,,,,
